ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,dpnm,ratio_PAY_AMT1_to_BILL_AMT2,ratio_PAY_AMT2_to_BILL_AMT3,ratio_PAY_AMT3_to_BILL_AMT4,ratio_PAY_AMT4_to_BILL_AMT5,ratio_PAY_AMT5_to_BILL_AMT6,ratio_BILL_LIMIT1,ratio_BILL_LIMIT2,ratio_BILL_LIMIT3,ratio_BILL_LIMIT4,ratio_BILL_LIMIT5,ratio_BILL_LIMIT6
21,130000,2,3,2,39,0,0,0,0,0,-1,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,0,10.835018780699219,6.276287312670995,4.850601474582848,16.94628029147602,100.0,29.50615384615385,21.298461538461538,18.837692307692308,15.858461538461539,9.078461538461537,0.7153846153846154
22,120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,1,100.0,100.0,,100.0,100.0,0.26333333333333336,0.26333333333333336,0.26333333333333336,0.0,0.5266666666666667,0.26333333333333336
23,70000,2,2,2,26,2,0,0,2,2,2,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,1,4.7284721404170105,7.956463793869391,0.0,7.677219912589277,0.0,58.69571428571428,60.63571428571428,64.31428571428572,62.86571428571428,67.00714285714285,65.73142857142858
24,450000,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,1,100.04119464469619,100.0,100.0,,,1.224888888888889,4.315555555555556,0.32733333333333337,0.12444444444444445,0.0,0.0
25,90000,1,1,2,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,0,81.42857142857143,,100.0,18.867924528301888,24.662325132657983,5.271111111111111,7.855555555555556,0.0,5.997777777777777,7.066666666666667,9.213333333333333
26,50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0,4.718966754364985,3.958582017044666,3.4556564366347917,4.80069730798887,3.5345803101910405,95.24000000000001,83.62,72.04599999999999,57.934,59.658,60.092
27,60000,1,1,2,27,-2,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,1,,200.0,,200.0,,0.0,0.0,0.43166666666666664,0.0,0.2116666666666667,0.0
28,50000,2,3,2,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,0,8.05552113025158,7.574433374118744,5.5934668307416935,7.92351170038561,5.09761941173472,45.082,32.275999999999996,34.326,35.756,37.862,39.234
29,50000,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,0,100.0,100.1463700234192,100.19607843137254,100.0,100.0,1.3,6.83,6.832000000000001,4.08,60.86,0.514
30,50000,1,1,2,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,0,9.049773755656108,8.573388203017833,5.584408331937231,5.442176870748299,14.035087719298245,30.658,33.15,34.992000000000004,35.814,36.75,22.8
31,230000,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,0,100.02896032435564,100.1130710085934,100.0,100.0,100.9993770820356,7.237391304347826,7.506521739130435,5.767826086956522,6.669130434782608,6.220434782608695,16.053478260869568
32,50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,1,5.800526706732392,6.78671613428649,4.398697985396323,4.307188697936857,4.222972972972973,61.036,59.236,44.204,45.467999999999996,46.434,47.36
33,100000,1,1,2,32,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,0,3.5957702418194146,4.236245173745174,4.078658069616345,4.071001105421648,4.233420206643824,93.036,84.071,82.88,80.958,78.703,75.589
34,500000,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0,100.0,100.46210720887245,100.0,100.0,10.923059792896114,2.1858,0.8304,4.5443999999999996,1.5042,14.2878,1.7961999999999998
35,500000,1,1,1,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0,100.0,100.154192097655,100.0,,100.0,2.7418,1.0012,6.226,0.636,0.0,1.0586
36,160000,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,0,,,,,,18.915625,0.0,0.0,0.0,0.0,0.0
37,280000,1,2,1,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,0,4.4262331245036615,4.467304430723526,3.6969661404847134,3.6802548576488925,3.607401937851228,66.60821428571428,64.75999999999999,64.43642857142858,60.86071428571429,62.1075,63.36178571428571
38,60000,2,2,2,22,0,0,0,0,0,-1,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,0,15.29675708749745,13.715215034333214,33.90308662462662,,200.0,25.09,16.343333333333334,18.446666666666665,10.043333333333333,0.0,31.1
39,50000,1,1,2,25,-1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,1,100.0,,,,,0.0,1.5599999999999998,0.0,0.0,0.0,0.0
40,280000,1,1,2,31,-1,-1,2,-1,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,0,100.0,0.0,100.0,44.503782821539836,100.50648939537827,0.17785714285714285,3.2410714285714284,1.6575,3.5628571428571427,6.419999999999999,3.384642857142857
41,360000,1,1,2,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,0,4.518834502205191,3.3833587085236476,0.9543517645168833,96.36217973250871,15.62290764629737,60.74111111111111,61.47111111111111,57.47083333333334,174.63861111111112,54.43583333333334,49.78444444444444
42,70000,2,1,2,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,0,4.477678771324945,7.03685749581698,6.345468531688095,3.862912945393863,4.2443534940124295,96.45857142857143,95.71285714285715,91.35571428571428,90.99857142857142,92.45428571428572,94.24285714285713
43,10000,1,2,2,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,0,47.11055276381909,48.75895385640513,27.96420581655481,8.174386920980927,22.46686137946529,18.77,31.840000000000003,60.029999999999994,35.76,36.7,44.51
44,140000,2,2,1,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,0,4.874561289483947,4.767580452920143,4.667081518357187,5.963118114462052,5.730494828228418,42.502857142857145,43.96,44.94642857142857,45.91428571428571,47.91357142857143,49.85857142857143
45,40000,2,1,2,30,0,0,0,2,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,0,14.08781404085466,19.289379267775164,0.0,7.508634930169696,10.275028256327705,47.3175,53.237500000000004,64.8025,63.0225,66.59,72.9925
47,20000,2,1,2,22,0,0,2,-1,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,1,18.19946614899296,0.0,102.44783061012177,2.002998500749625,,70.14,82.42,79.0,81.70500000000001,83.375,0.0
48,150000,2,4,2,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,1,33.388266315095585,100.0,0.0,,,2.9753333333333334,2.022666666666667,0.7799999999999999,0.7799999999999999,0.0,0.0
49,380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0,100.0,100.02643055372009,77.07227184708601,100.0168790615242,100.01684494230607,5.8950000000000005,5.668421052631579,3.9826315789473683,8.42578947368421,3.118157894736842,3.124473684210526
50,20000,1,1,2,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,0,7.13242058552952,6.75189977408092,3.5439214699219734,4.53125,4.545681104520759,87.235,92.39500000000001,97.38,99.325,102.4,100.315
51,70000,1,3,2,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,1,0.0,8.082388215356538,5.073180630596353,0.0,3.810781972460749,52.91714285714286,51.67285714285714,54.792857142857144,56.31857142857143,55.22714285714285,56.23142857142858
52,100000,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,0,3.9090749174207926,3.6646586345381524,3.786062242863273,5.5925283820815395,4.510193036261953,61.559,51.163000000000004,43.824000000000005,39.619,35.762,33.257999999999996
53,310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,0,100.10169060633022,100.0,100.0,100.0,100.0,4.343548387096774,2.537741935483871,2.4516129032258065,3.608064516129032,1.143225806451613,0.14967741935483872
54,180000,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,0,3.114369220449427,4.7008746901164695,4.04964376005516,3.966681674921207,3.9497782387078266,23.00111111111111,23.189999999999998,23.754444444444445,24.172222222222224,24.67777777777778,25.177222222222223
55,150000,2,1,2,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,0,4.5723430400365785,5.465419609340206,3.9558036050984233,7.1285999429712,12.091898428053206,30.816,23.328666666666667,20.956,17.67866666666667,14.027999999999999,11.026666666666667
56,500000,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,0,100.0,100.0,,100.0,100.0,0.381,0.728,0.0324,0.0,0.0302,0.506
57,180000,2,3,1,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,0,53.821313240043054,17.770406349958538,105.01260151218146,,108.16007691383247,9.103333333333333,8.773888888888889,4.689444444444445,3.9677777777777776,0.0,4.622777777777777
58,180000,2,2,1,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,0,4.660401291512915,4.234278153074727,3.115510533308028,3.641397255714739,3.706953616896812,97.71444444444445,96.35555555555555,95.72666666666667,93.67111111111112,73.44555555555556,72.17666666666666
59,200000,2,1,2,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,0,0.0,0.0,60.03430531732419,0.0,84.86562942008487,0.7935,0.549,0.391,0.583,0.35000000000000003,0.707
60,400000,2,2,1,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0,4.262179176998273,3.7181628134238816,8.328729396805654,3.3645866044591988,3.2958974316719263,100.0335,99.71425,101.05125,90.04974999999999,89.164,91.02225
61,500000,2,3,1,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,1,6.413402149081987,6.886322703676237,6.6947847626698795,7.232226802632531,12.844390212574657,4.5696,4.7276,3.7756,2.9874,2.7654,3.1142
62,70000,1,2,1,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,0,5.5856230918678875,2.9955103091309447,6.0540016951204745,14.188422247446084,200.0,101.14285714285714,102.94285714285714,99.91142857142857,23.59714285714286,20.137142857142855,1.1857142857142857
63,50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,1,0.0,10.153811439960888,0.0,8.042071782267683,4.245683555052363,49.974000000000004,48.6,53.181999999999995,51.73,55.334,56.528
64,50000,2,2,1,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,1,3.428649797709662,,,,,57.436,58.331999999999994,0.0,0.0,0.0,0.0
65,130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,0,,,,100.0,,0.07615384615384616,0.0,0.0,0.0,1.81,0.0
66,200000,1,1,1,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,1,0.0,0.0,100.58722779544897,3.6594291290558676,0.0,76.2595,74.3755,72.038,4.087,4.099,3.959
67,10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1,54.8533269735273,0.0,3.6927621861152145,4.7664442326024785,4.623208506703652,20.97,41.93,39.78,40.62,41.959999999999994,43.26
68,210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0,100.0,100.0,100.0,100.0,100.0,0.14285714285714285,0.14285714285714285,0.5519047619047619,1.0857142857142856,0.14285714285714285,2.0238095238095237
69,130000,2,3,2,29,-2,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0,,,195.5290466492096,0.0,100.0,0.0,0.0,0.0,7.931538461538462,7.8161538461538465,5.63
70,20000,1,4,2,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,0,0.0,6.942435637836273,5.52944429084877,4.462293618920125,16.716817118020728,92.825,86.02,86.425,90.425,56.025000000000006,29.909999999999997
71,80000,1,1,2,31,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,0,,100.0,100.0,100.0,100.0,0.975,0.0,0.4875,0.4875,0.4875,0.4875
72,320000,1,2,2,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1,4.219694156567532,4.153927954273561,0.0,7.703789301362608,3.777980669332242,18.2084375,18.514375,18.807499999999997,18.319374999999997,19.470937499999998,19.851875
73,200000,2,2,1,32,-1,-1,-1,-1,2,-1,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,0,100.53568342837393,,173.47055460263007,0.4417879417879418,100.4443033957474,4.537999999999999,2.8935,0.0,2.6235,1.924,1.5755000000000001
74,290000,2,1,2,37,-2,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0,,100.0,,100.0,,0.0,0.0,1.0879310344827586,0.0,0.8134482758620689,0.0
75,340000,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,0,102.93693693693693,100.49706474696833,100.53600559310185,100.49779796139882,100.49961270333074,0.896470588235294,1.6323529411764706,6.863823529411765,1.2620588235294117,23.574411764705882,7.594117647058823
76,20000,1,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,0,16.554368029739777,0.0,3.5933081998114984,3.634894991922456,8.08930593755056,73.095,86.08,83.21,84.88,86.66,92.715
77,50000,1,3,2,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,0,4.725319006044325,4.929753096683016,3.320880033208801,5.213764337851929,9.970089730807578,85.676,74.45,72.174,19.272,19.18,20.06
78,300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,0,100.0,100.0,100.0,100.0,100.0,0.097,0.097,0.097,0.097,0.097,0.097
79,30000,2,2,2,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,1,5.693637714440092,4.616500692475104,1.9997143265247823,11.343870528624366,27.53080642645453,94.62333333333333,98.70666666666666,101.08666666666666,93.34666666666666,88.15333333333332,21.37
81,470000,2,3,3,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,0,4.0561780662171065,4.65021941955231,4.290433762853425,3.2796966280619047,3.3457124694703735,35.160425531914896,33.571063829787235,34.617446808510635,14.877234042553193,6.227872340425532,6.35936170212766
82,360000,2,1,2,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0,17.25428119153835,11.18421052631579,9.365558912386707,81.61111111111111,100.0,6.503055555555555,7.72111111111111,8.444444444444445,9.194444444444445,50.0,0.05444444444444444
83,60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1,5.7369589749190055,4.315497367297567,2.9463920338289458,3.8594904266546055,5.7660209397602555,43.87333333333333,45.785,46.846666666666664,36.655,33.165,32.95166666666667
84,400000,2,2,1,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0,7.6945203509276565,0.0023655761360679393,2.920616681030355,2.857414991903991,3.4021561164387935,32.89875,34.765,31.704749999999997,26.1075,26.247500000000002,23.514499999999998
85,50000,2,3,2,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,0,3.5016609907444165,6.0589138629066035,3.429019300480063,3.6138972184882636,4.35786880197105,97.81800000000001,95.726,42.978,40.827999999999996,38.684000000000005,38.964
86,160000,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,0,4.0813297714455326,4.9309088887035335,67.55729703254573,3.80045098685044,3.986115032636317,81.2675,67.38,44.958749999999995,74.01124999999999,74.004375,75.26125
87,360000,2,1,1,45,-1,-1,2,0,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,1,100.0,0.0,0.0,100.0,100.0,0.10833333333333332,0.325,0.21666666666666665,0.10833333333333332,0.10833333333333332,0.10833333333333332
88,160000,2,2,2,32,0,0,0,0,0,-1,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,0,24.142285834561143,30.284675953967295,23.245002324500234,0.0,100.0,2.39125,2.9693750000000003,4.1274999999999995,5.3775,4.42,0.47875
89,130000,2,1,1,35,0,0,0,-1,-1,-1,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,0,33.936843534182884,28.18489289740699,100.0,100.0,100.0,62.54846153846154,90.66615384615385,13.646153846153847,1.023076923076923,5.457692307692308,0.9153846153846154
90,20000,1,3,2,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,0,0.0,17.107035540358513,9.534706331045003,16.24167614097775,0.0,42.915,41.515,48.254999999999995,52.44,61.57,59.85
91,200000,1,1,1,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1,4.475258215295438,3.8607328372876593,3.8168468681036516,3.738343166308692,3.343788244578047,69.08999999999999,70.387,71.23,72.04899999999999,73.56200000000001,74.7655
92,280000,2,1,2,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0,,100.0,0.0,,,2.687142857142857,0.0,1.417142857142857,1.3814285714285715,0.0,0.0
93,100000,2,1,2,27,-2,-2,-2,-2,-2,-2,-2000,5555,0,0,0,0,7555,0,0,0,0,0,0,136.003600360036,,,,,0.0,5.555000000000001,0.0,0.0,0.0,0.0
94,160000,2,2,1,37,-1,-1,-1,-1,-1,-2,880,1602,840,840,0,0,1602,840,840,0,0,7736,0,100.0,100.0,100.0,,,0.5499999999999999,1.00125,0.525,0.525,0.0,0.0
95,60000,2,2,2,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,0,4.134471718249733,2.7555386114288134,3.480479714212809,3.5920662189598627,4.2229467473994715,76.08,78.08333333333334,78.69,32.65833333333333,32.015,32.205
96,90000,1,2,2,35,0,0,0,0,0,0,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,0,4.210660960974929,4.103681562524956,3.3150569380008434,3.593820696787538,3.580347008269823,93.02777777777777,95.55111111111111,97.39222222222223,39.516666666666666,34.38,34.261111111111106
97,360000,1,1,1,43,-1,-1,-1,-1,-1,0,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,0,100.20427781783225,100.0,200.0,102.3890784982935,0.0,1.1019444444444444,2.3116666666666665,0.9427777777777778,1.7919444444444446,7.324999999999999,2.7655555555555553
98,150000,1,1,2,27,0,0,0,0,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,0,4.681330422260417,11.241938745702537,3.6379838485101645,4.605300655457395,4.162989114445425,57.33933333333333,57.40533333333333,59.33733333333333,59.85,58.483333333333334,27.192
99,50000,2,3,1,22,0,0,0,0,0,0,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,0,7.7698237885462555,7.0247690768959234,2.88212927756654,3.1694112339273626,4.063805545005697,37.444,36.32,33.994,26.3,17.732,15.798000000000002
100,20000,1,2,1,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,1,8.772654515412816,7.464594304412291,3.4320175438596494,9.761267291387773,100.0,89.865,96.83500000000001,97.795,91.2,89.64,0.75
101,140000,1,1,2,32,-2,-2,-2,-2,-2,-2,672,10212,850,415,100,1430,10212,850,415,100,1430,0,0,100.0,100.0,100.0,100.0,100.0,0.48,7.2942857142857145,0.6071428571428571,0.29642857142857143,0.07142857142857142,1.0214285714285714
102,380000,2,1,2,30,-2,-2,-1,0,0,0,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,0,,102.16474210931486,3.560244443768812,3.566321058276725,3.6704251820530893,0.0,0.0,8.546052631578947,8.655526315789473,8.832631578947368,8.962105263157895
103,480000,1,1,1,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,0,3.727436697562491,11.616454471124163,3.4902867373210205,0.0,3.830105051270212,87.93104166666666,89.86291666666666,99.88166666666667,101.47208333333333,98.15520833333333,97.90854166666666
104,50000,2,3,2,22,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,1,4.1818526056704695,3.551777192479203,3.0834564254062036,3.577969928014653,4.129658836224786,89.396,84.50800000000001,76.69399999999999,64.992,46.954,48.187999999999995
